Date,Weekly Close,Weekly Volume,Weekly Volatility,Weekly Variance,14 Week MA Volatility,Weekly Weighted Volume,14 Week VWAP MA,,Multiple calculation,Buy/Sell Multiplier,,Price lower 2 SD,price upper 2 SD,Price lower 3 SD,price upper 3 SD,Price lower 4 SD,price upper 4 SD,,AVG,MIN,MAX,AVG VAR,SD
,,,,,,,,,,,,,,,,,,,1.27%,-100.00%,45.94%,1.10%,10.51%
11-21-2022,"$15,778.02","$212,305,927,001",-5.12%,0.41%,8.02%,"$3,349,767,162,340,320","$19,428.82",,228.77%,2,,"$16,310.60","$22,547.04","$14,751.49","$24,106.15","$13,192.38","$25,665.26",228.77%,,,,,
11-28-2022,"$16,212.58","$184,366,390,569",2.75%,0.02%,7.71%,"$2,989,054,856,411,160","$19,151.57",,100.00%,,,"$16,198.37","$22,104.77","$14,721.78","$23,581.37","$13,245.18","$25,057.97",100.00%,,,,,
12-5-2022,"$16,961.35","$156,325,682,750",4.62%,0.11%,7.82%,"$2,651,494,619,111,710","$18,981.42",,100.00%,,,"$16,012.02","$21,950.82","$14,527.32","$23,435.52","$13,042.62","$24,920.22",100.00%,,,,,
12-12-2022,"$17,195.53","$129,428,712,529",1.38%,0.00%,7.83%,"$2,225,595,309,153,800","$18,863.45",,100.00%,,,"$15,907.61","$21,819.29","$14,429.69","$23,297.21","$12,951.77","$24,775.13",100.00%,,,,,
12-19-2022,"$16,424.13","$142,170,798,266",-4.49%,0.33%,6.82%,"$2,335,031,672,924,560","$18,481.28",,100.00%,,,"$15,962.13","$21,000.42","$14,702.56","$22,259.99","$13,442.99","$23,519.57",100.00%,,,,,
12-26-2022,"$16,879.94","$107,997,970,888",2.78%,0.02%,6.18%,"$1,822,999,268,711,190","$18,335.99",,100.00%,,,"$16,068.70","$20,603.27","$14,935.06","$21,736.91","$13,801.42","$22,870.56",100.00%,,,,,
1-2-2023,"$16,688.72","$95,526,200,508",-1.13%,0.06%,6.18%,"$1,594,210,012,941,870","$18,209.51",,100.00%,,,"$15,959.91","$20,459.11","$14,835.11","$21,583.91","$13,710.31","$22,708.71",100.00%,,,,,
1-9-2023,"$17,182.32","$90,012,614,323",2.96%,0.03%,6.21%,"$1,546,625,543,334,370","$18,032.91",,100.00%,,,"$15,794.43","$20,271.39","$14,675.18","$21,390.64","$13,555.94","$22,509.88",100.00%,,,,,
1-16-2023,"$21,180.41","$175,267,920,183",23.27%,4.84%,8.89%,"$3,712,246,409,323,210","$18,152.73",,100.00%,,,"$14,924.72","$21,380.73","$13,310.72","$22,994.74","$11,696.71","$24,608.74",100.00%,,,,,
1-23-2023,"$22,929.02","$188,938,770,069",8.26%,0.49%,9.10%,"$4,332,180,837,687,500","$18,379.55",,-36.11%,-2,,"$15,036.25","$21,722.86","$13,364.59","$23,394.51","$11,692.94","$25,066.17",-36.11%,,,,,
1-30-2023,"$22,799.43","$177,486,927,537",-0.57%,0.03%,9.08%,"$4,046,600,780,294,900","$18,602.98",,-20.72%,-2,,"$15,223.05","$21,982.91","$13,533.09","$23,672.87","$11,843.12","$25,362.83",-20.72%,,,,,
2-6-2023,"$22,745.17","$171,080,243,769",-0.24%,0.02%,9.00%,"$3,891,249,228,167,350","$18,655.53",,-19.99%,-2,,"$15,295.68","$22,015.38","$13,615.75","$23,695.31","$11,935.82","$25,375.24",-19.99%,,,,,
2-13-2023,"$21,798.72","$170,212,590,188",-4.16%,0.30%,9.11%,"$3,710,416,593,982,960","$18,623.34",,100.00%,,,"$15,228.36","$22,018.32","$13,530.87","$23,715.80","$11,833.38","$25,413.29",100.00%,,,,,
2-20-2023,"$24,797.84","$224,139,000,290",13.76%,1.56%,7.71%,"$5,558,163,066,951,370","$19,667.65",,-59.49%,-3,,"$16,634.92","$22,700.39","$15,118.55","$24,216.76","$13,602.18","$25,733.12",-59.49%,,,,,
2-27-2023,"$23,504.19","$175,810,120,684",-5.22%,0.42%,7.72%,"$4,132,274,480,479,670","$20,353.11",,-28.66%,-2,,"$17,211.41","$23,494.80","$15,640.57","$25,065.64","$14,069.72","$26,636.49",-28.66%,,,,,
3-6-2023,"$22,414.70","$138,790,785,900",-4.64%,0.35%,7.99%,"$3,110,953,828,712,730","$20,842.80",,100.00%,,,"$17,510.38","$24,175.21","$15,844.18","$25,841.42","$14,177.97","$27,507.63",100.00%,,,,,
3-13-2023,"$24,154.43","$192,057,466,346",7.76%,0.42%,8.10%,"$4,639,038,626,831,810","$21,413.17",,100.00%,,,"$17,944.97","$24,881.37","$16,210.87","$26,615.46","$14,476.78","$28,349.56",100.00%,,,,,
3-20-2023,"$27,834.34","$305,833,103,060",15.23%,1.95%,8.73%,"$8,512,662,573,827,080","$22,478.71",,-49.71%,-2,,"$18,554.58","$26,402.83","$16,592.52","$28,364.90","$14,630.46","$30,326.96",-49.71%,,,,,
3-27-2023,"$27,155.00","$191,720,356,212",-2.44%,0.14%,8.59%,"$5,206,166,272,936,860","$23,209.44",,100.00%,,,"$19,219.84","$27,199.05","$17,225.04","$29,193.85","$15,230.23","$31,188.65",100.00%,,,,,
4-3-2023,"$27,850.98","$121,255,230,918",2.56%,0.02%,8.60%,"$3,377,077,011,192,600","$23,724.88",,-24.23%,-2,,"$19,645.50","$27,804.25","$17,605.82","$29,843.94","$15,566.13","$31,883.62",-24.23%,,,,,
4-10-2023,"$29,687.57","$98,141,424,556",6.59%,0.28%,8.49%,"$2,913,580,411,405,970","$24,244.27",,-32.19%,-2,,"$20,126.29","$28,362.25","$18,067.30","$30,421.25","$16,008.30","$32,480.24",-32.19%,,,,,
4-17-2023,"$29,469.51","$122,998,807,738",-0.73%,0.04%,8.60%,"$3,624,714,594,623,070","$24,765.26",,-20.58%,-2,,"$20,505.02","$29,025.49","$18,374.90","$31,155.61","$16,244.79","$33,285.73",-20.58%,,,,,
4-24-2023,"$27,520.20","$129,935,327,803",-6.61%,0.62%,7.09%,"$3,575,846,208,204,120","$25,174.77",,100.00%,,,"$21,603.40","$28,746.14","$19,817.71","$30,531.83","$18,032.03","$32,317.52",100.00%,,,,,
5-1-2023,"$28,114.95","$137,303,647,007",2.16%,0.01%,6.87%,"$3,860,285,170,419,450","$25,526.10",,100.00%,,,"$22,018.52","$29,033.69","$20,264.72","$30,787.48","$18,510.93","$32,541.28",100.00%,,,,,
5-8-2023,"$27,727.29","$114,911,964,253",-1.38%,0.07%,6.89%,"$3,186,197,357,312,560","$25,847.30",,100.00%,,,"$22,283.27","$29,411.34","$20,501.25","$31,193.36","$18,719.23","$32,975.38",100.00%,,,,,
5-15-2023,"$27,231.62","$109,959,496,438",-1.79%,0.09%,6.94%,"$2,994,375,222,390,970","$26,153.13",,100.00%,,,"$22,523.70","$29,782.55","$20,708.99","$31,597.27","$18,894.28","$33,411.98",100.00%,,,,,
5-22-2023,"$26,858.74","$84,459,727,715",-1.37%,0.07%,6.80%,"$2,268,481,867,167,980","$26,526.05",,100.00%,,,"$22,917.38","$30,134.72","$21,113.04","$31,939.05","$19,308.70","$33,743.39",100.00%,,,,,
5-29-2023,"$27,765.07","$90,053,064,704",3.37%,0.04%,5.89%,"$2,500,329,645,221,090","$26,773.88",,100.00%,,,"$23,618.72","$29,929.03","$22,041.14","$31,506.61","$20,463.56","$33,084.19",100.00%,,,,,
6-5-2023,"$25,785.85","$91,351,657,572",-7.13%,0.71%,6.07%,"$2,355,580,139,402,960","$27,025.12",,100.00%,,,"$23,746.38","$30,303.86","$22,107.01","$31,943.23","$20,467.64","$33,582.59",100.00%,,,,,
6-12-2023,"$25,906.75","$116,498,927,148",0.47%,0.01%,5.86%,"$3,018,108,580,891,450","$27,292.41",,100.00%,,,"$24,092.42","$30,492.40","$22,492.43","$32,092.39","$20,892.44","$33,692.39",100.00%,,,,,
6-19-2023,"$26,778.06","$92,905,085,602",3.36%,0.04%,5.60%,"$2,487,817,956,555,490","$27,599.43",,100.00%,,,"$24,511.00","$30,687.86","$22,966.79","$32,232.08","$21,422.58","$33,776.29",100.00%,,,,,
6-26-2023,"$30,255.89","$138,005,623,534",12.99%,1.37%,5.17%,"$4,175,482,965,026,110","$27,779.22",,100.00%,,,"$24,908.27","$30,650.17","$23,472.80","$32,085.64","$22,037.33","$33,521.12",100.00%,,,,,
7-3-2023,"$31,135.36","$106,681,707,513",2.91%,0.03%,5.11%,"$3,321,573,368,831,960","$28,086.54",,-21.43%,-2,,"$25,214.24","$30,958.84","$23,778.08","$32,395.00","$22,341.93","$33,831.15",-21.43%,,,,,
7-10-2023,"$30,394.66","$90,491,031,635",-2.38%,0.13%,5.17%,"$2,750,444,139,595,070","$28,242.36",,100.00%,,,"$25,319.40","$31,165.33","$23,857.91","$32,626.81","$22,396.43","$34,088.29",100.00%,,,,,
7-17-2023,"$30,143.75","$102,917,922,458",-0.83%,0.04%,4.90%,"$3,102,332,125,093,340","$28,277.60",,100.00%,,,"$25,504.86","$31,050.33","$24,118.49","$32,436.70","$22,732.12","$33,823.07",100.00%,,,,,
7-24-2023,"$29,178.36","$81,343,417,729",-3.20%,0.20%,4.98%,"$2,373,467,526,127,140","$28,228.27",,100.00%,,,"$25,414.88","$31,041.66","$24,008.19","$32,448.36","$22,601.49","$33,855.05",100.00%,,,,,
7-31-2023,"$29,219.82","$76,309,629,498",0.14%,0.01%,4.60%,"$2,229,753,638,198,250","$28,345.26",,100.00%,,,"$25,736.55","$30,953.97","$24,432.20","$32,258.33","$23,127.84","$33,562.69",100.00%,,,,,
8-7-2023,"$29,164.36","$87,827,001,052",-0.19%,0.02%,4.58%,"$2,561,418,276,400,910","$28,420.11",,100.00%,,,"$25,816.73","$31,023.48","$24,515.04","$32,325.17","$23,213.35","$33,626.86",100.00%,,,,,
8-14-2023,"$29,408.97","$85,153,014,454",0.84%,0.00%,4.55%,"$2,504,262,447,487,250","$28,541.10",,100.00%,,,"$25,941.67","$31,140.53","$24,641.96","$32,440.24","$23,342.24","$33,739.95",100.00%,,,,,
8-21-2023,"$26,128.91","$116,418,274,959",-11.15%,1.54%,5.51%,"$3,041,882,628,758,960","$28,440.52",,100.00%,,,"$25,308.47","$31,572.56","$23,742.45","$33,138.58","$22,176.42","$34,704.61",100.00%,,,,,
8-28-2023,"$26,103.28","$83,086,807,452",-0.10%,0.02%,5.50%,"$2,168,838,199,225,640","$28,395.93",,100.00%,,,"$25,275.10","$31,516.76","$23,714.68","$33,077.18","$22,154.26","$34,637.59",100.00%,,,,,
9-4-2023,"$25,799.53","$126,186,364,258",-1.16%,0.06%,5.41%,"$3,255,548,890,265,200","$28,201.82",,100.00%,,,"$25,150.40","$31,253.24","$23,624.68","$32,778.95","$22,098.97","$34,304.66",100.00%,,,,,
9-11-2023,"$25,135.04","$69,814,611,152",-2.58%,0.15%,5.10%,"$1,754,793,043,889,970","$28,206.62",,220.76%,2,,"$25,328.59","$31,084.64","$23,889.58","$32,523.66","$22,450.57","$33,962.67",220.76%,,,,,
9-18-2023,"$26,764.63","$85,796,699,860",6.48%,0.27%,5.39%,"$2,296,316,926,973,950","$28,314.01",,100.00%,,,"$25,259.08","$31,368.93","$23,731.62","$32,896.39","$22,204.16","$34,423.86",100.00%,,,,,
9-25-2023,"$26,288.81","$82,251,905,213",-1.78%,0.09%,5.35%,"$2,162,304,708,282,570","$28,296.08",,100.00%,,,"$25,268.49","$31,323.68","$23,754.69","$32,837.48","$22,240.89","$34,351.27",100.00%,,,,,
10-2-2023,"$27,565.89","$73,012,240,734",4.86%,0.13%,4.13%,"$2,012,647,396,726,960","$28,040.60",,100.00%,,,"$25,721.71","$30,359.48","$24,562.26","$31,518.93","$23,402.82","$32,678.37",100.00%,,,,,
10-9-2023,"$27,591.35","$82,183,775,698",0.09%,0.01%,4.02%,"$2,267,561,319,605,010","$27,745.23",,100.00%,,,"$25,515.04","$29,975.42","$24,399.95","$31,090.52","$23,284.85","$32,205.61",100.00%,,,,,
10-16-2023,"$28,506.79","$72,673,654,487",3.32%,0.04%,4.13%,"$2,071,692,606,993,470","$27,594.69",,100.00%,,,"$25,314.40","$29,874.99","$24,174.25","$31,015.13","$23,034.11","$32,155.28",100.00%,,,,,
10-23-2023,"$32,954.17","$113,402,383,094",15.60%,2.05%,5.93%,"$3,737,081,410,884,800","$27,874.29",,-63.24%,-3,,"$24,566.40","$31,182.19","$22,912.45","$32,836.14","$21,258.50","$34,490.08",-63.24%,,,,,
10-30-2023,"$34,495.11","$165,718,773,022",4.68%,0.12%,5.90%,"$5,716,487,304,458,920","$28,625.23",,-30.43%,-3,,"$25,248.32","$32,002.14","$23,559.87","$33,690.60","$21,871.41","$35,379.05",-30.43%,,,,,
11-6-2023,"$35,017.72","$115,520,056,635",1.52%,0.00%,5.89%,"$4,045,248,997,628,570","$29,135.21",,-20.94%,-3,,"$25,704.21","$32,566.22","$23,988.71","$34,281.72","$22,273.21","$35,997.22",-20.94%,,,,,
11-13-2023,"$36,543.27","$134,767,494,805",4.36%,0.10%,5.92%,"$4,924,844,949,882,710","$29,843.48",,-29.49%,-3,,"$26,312.72","$33,374.23","$24,547.35","$35,139.60","$22,781.97","$36,904.98",-29.49%,,,,,
11-20-2023,"$37,516.05","$143,535,361,089",2.66%,0.02%,5.91%,"$5,384,879,783,382,980","$30,620.80",,-24.41%,-3,,"$26,999.51","$34,242.09","$25,188.87","$36,052.73","$23,378.22","$37,863.37",-24.41%,,,,,
11-27-2023,"$37,229.25","$130,439,893,957",-0.76%,0.04%,4.67%,"$4,856,179,422,098,640","$31,557.59",,-17.47%,-3,,"$28,611.44","$34,503.74","$27,138.37","$35,976.81","$25,665.29","$37,449.89",-17.47%,,,,,
12-4-2023,"$41,910.30","$134,360,107,955",12.57%,1.28%,5.28%,"$5,631,072,432,426,440","$32,763.20",,-53.51%,-4,,"$29,302.70","$36,223.69","$27,572.45","$37,953.94","$25,842.20","$39,684.19",-66.08%,,,,,
12-11-2023,"$41,209.89","$188,503,614,895",-1.67%,0.09%,5.32%,"$7,768,213,234,425,310","$34,315.32",,-20.84%,-3,,"$30,665.80","$37,964.84","$28,841.05","$39,789.59","$27,016.29","$41,614.35",-20.84%,,,,,
12-18-2023,"$42,635.73","$177,039,421,082",3.46%,0.05%,5.02%,"$7,548,204,956,608,460","$35,559.41",,-25.91%,-3,,"$31,988.24","$39,130.58","$30,202.65","$40,916.16","$28,417.07","$42,701.75",-25.91%,,,,,
12-25-2023,"$43,623.75","$189,754,768,340",2.32%,0.01%,4.98%,"$8,277,814,575,372,070","$36,826.52",,-22.44%,-3,,"$33,156.09","$40,496.95","$31,320.87","$42,332.17","$29,485.65","$44,167.38",-22.44%,,,,,
1-1-2024,"$44,049.47","$157,807,126,208",0.98%,0.00%,4.80%,"$6,951,320,271,685,510","$37,894.58",,-18.24%,-3,,"$34,254.09","$41,535.06","$32,433.85","$43,355.31","$30,613.60","$45,175.55",-18.24%,,,,,
1-8-2024,"$46,981.32","$202,311,773,985",6.66%,0.29%,4.86%,"$9,504,874,193,356,960","$39,185.64",,-35.33%,-4,,"$35,379.88","$42,991.40","$33,477.00","$44,894.27","$31,574.12","$46,797.15",-41.99%,,,,,
1-15-2024,"$42,528.92","$259,971,819,745",-9.48%,1.16%,5.99%,"$11,056,320,724,189,500","$40,019.21",,100.00%,,,"$35,226.88","$44,811.54","$32,830.71","$47,207.70","$30,434.55","$49,603.87",100.00%,,,,,
1-22-2024,"$39,577.10","$139,135,824,835",-6.94%,0.67%,6.58%,"$5,506,592,453,077,280","$40,363.37",,100.00%,,,"$35,048.92","$45,677.82","$32,391.69","$48,335.04","$29,734.47","$50,992.27",100.00%,,,,,
1-29-2024,"$43,218.35","$155,314,602,893",9.20%,0.63%,5.78%,"$6,712,440,867,940,690","$40,922.89",,100.00%,,,"$36,190.62","$45,655.15","$33,824.49","$48,021.29","$31,458.35","$50,387.42",100.00%,,,,,
2-5-2024,"$42,619.27","$135,184,187,433",-1.39%,0.07%,5.80%,"$5,761,451,383,937,630","$41,494.76",,100.00%,,,"$36,679.76","$46,309.77","$34,272.26","$48,717.27","$31,864.76","$51,124.77",100.00%,,,,,
2-12-2024,"$49,989.80","$157,826,395,448",17.29%,2.57%,7.15%,"$7,889,709,943,166,430","$42,400.67",,-52.24%,-2,,"$36,341.48","$48,459.85","$33,311.88","$51,489.45","$30,282.29","$54,519.04",-52.24%,,,,,
2-19-2024,"$51,804.81","$213,560,041,471",3.63%,0.06%,7.14%,"$11,063,437,371,997,300","$43,573.85",,-24.90%,-2,,"$37,355.29","$49,792.40","$34,246.01","$52,901.68","$31,136.73","$56,010.96",-24.90%,,,,,
2-26-2024,"$54,551.83","$160,769,145,627",5.30%,0.16%,7.17%,"$8,770,251,101,489,350","$44,670.62",,-33.58%,-3,,"$38,266.72","$51,074.52","$35,064.77","$54,276.48","$31,862.82","$57,478.43",-33.58%,,,,,
3-4-2024,"$68,091.84","$327,931,127,857",24.82%,5.54%,9.14%,"$22,329,433,889,058,400","$47,998.68",,-94.11%,-4,,"$39,223.93","$56,773.44","$34,836.55","$61,160.82","$30,449.17","$65,548.19",-118.93%,,,,,
3-11-2024,"$72,198.09","$405,709,693,297",6.03%,0.23%,8.87%,"$29,291,464,950,529,200","$51,703.54",,-37.47%,-4,,"$42,526.96","$60,880.12","$37,938.67","$65,468.40","$33,350.38","$70,056.69",-43.50%,,,,,
3-18-2024,"$67,770.89","$405,957,750,577",-6.13%,0.55%,9.18%,"$27,512,118,059,001,300","$54,456.13",,-31.95%,-2,,"$44,458.02","$64,454.24","$39,458.97","$69,453.29","$34,459.92","$74,452.34",-31.95%,,,,,
3-25-2024,"$70,042.02","$328,097,121,682",3.35%,0.04%,9.18%,"$22,980,585,158,793,100","$56,680.78",,-26.39%,-2,,"$46,273.63","$67,087.92","$41,070.06","$72,291.49","$35,866.49","$77,495.06",-26.39%,,,,,
4-1-2024,"$69,791.63","$216,324,625,836",-0.36%,0.03%,9.25%,"$15,097,648,246,234,600","$58,307.84",,-20.47%,-2,,"$47,526.45","$69,089.23","$42,135.76","$74,479.93","$36,745.06","$79,870.62",-20.47%,,,,,
4-8-2024,"$71,712.80","$229,427,260,104",2.75%,0.02%,9.22%,"$16,452,871,218,386,100","$59,903.50",,-25.23%,-2,,"$48,862.23","$70,944.76","$43,341.60","$76,465.39","$37,820.97","$81,986.02",-25.23%,,,,,
4-15-2024,"$63,393.33","$288,243,675,431",-11.60%,1.66%,10.05%,"$18,272,726,437,010,300","$60,960.98",,100.00%,,,"$48,706.20","$73,215.75","$42,578.81","$79,343.14","$36,451.42","$85,470.53",100.00%,,,,,
4-22-2024,"$66,944.60","$257,889,555,865",5.60%,0.19%,9.45%,"$17,264,313,161,560,100","$62,812.55",,100.00%,,,"$50,945.20","$74,679.91","$45,011.52","$80,613.59","$39,077.84","$86,547.27",100.00%,,,,,
4-29-2024,"$63,908.39","$176,031,088,174",-4.54%,0.34%,9.26%,"$11,249,863,435,148,400","$63,803.16",,100.00%,,,"$51,988.65","$75,617.66","$46,081.40","$81,524.92","$40,174.15","$87,432.17",100.00%,,,,,
5-6-2024,"$63,228.10","$217,717,011,805",-1.06%,0.05%,9.21%,"$13,765,832,994,107,700","$64,675.70",,100.00%,,,"$52,763.71","$76,587.68","$46,807.72","$82,543.68","$40,851.73","$88,499.67",100.00%,,,,,
5-13-2024,"$62,886.94","$161,617,857,129",-0.54%,0.03%,9.18%,"$10,163,652,484,200,000","$65,434.79",,100.00%,,,"$53,421.14","$77,448.45","$47,414.31","$83,455.27","$41,407.49","$89,462.10",100.00%,,,,,
5-20-2024,"$71,202.20","$191,456,349,028",13.22%,1.43%,8.75%,"$13,632,113,254,761,500","$66,423.93",,100.00%,,,"$54,795.75","$78,052.11","$48,981.66","$83,866.20","$43,167.57","$89,680.29",100.00%,,,,,
5-27-2024,"$69,347.82","$225,779,718,034",-2.60%,0.15%,8.87%,"$15,657,331,245,872,600","$67,476.61",,100.00%,,,"$55,505.79","$79,447.42","$49,520.39","$85,432.82","$43,534.98","$91,418.23",100.00%,,,,,
6-3-2024,"$68,833.30","$170,949,409,910",-0.74%,0.04%,8.87%,"$11,767,012,017,158,000","$68,117.67",,100.00%,,,"$56,036.70","$80,198.64","$49,996.21","$86,239.13","$43,955.72","$92,279.61",100.00%,,,,,
6-10-2024,"$69,465.94","$265,314,017,151",0.92%,0.00%,5.97%,"$18,430,287,596,570,300","$68,221.10",,100.00%,,,"$60,082.30","$76,359.89","$56,012.91","$80,429.28","$51,943.51","$84,498.68",100.00%,,,,,
6-17-2024,"$66,483.88","$175,973,271,622",-4.29%,0.31%,5.84%,"$11,699,385,873,724,500","$67,641.41",,100.00%,,,"$59,741.09","$75,541.74","$55,790.92","$79,491.90","$51,840.76","$83,442.06",100.00%,,,,,
6-24-2024,"$60,258.96","$163,449,015,388",-9.36%,1.13%,6.14%,"$9,849,267,680,304,880","$67,231.01",,100.00%,,,"$58,976.76","$75,485.26","$54,849.63","$79,612.39","$50,722.50","$83,739.52",100.00%,,,,,
7-1-2024,"$62,835.40","$171,030,093,873",4.28%,0.09%,6.19%,"$10,746,744,360,547,500","$66,655.97",,100.00%,,,"$58,404.02","$74,907.92","$54,278.04","$79,033.90","$50,152.06","$83,159.87",100.00%,,,,,
7-8-2024,"$56,691.91","$213,107,531,443",-9.78%,1.22%,6.66%,"$12,081,472,992,888,700","$65,692.50",,236.72%,2,,"$56,946.82","$74,438.19","$52,573.98","$78,811.03","$48,201.14","$83,183.87",236.72%,,,,,
7-15-2024,"$64,734.76","$187,407,019,962",14.19%,1.67%,7.79%,"$12,131,748,459,555,300","$65,147.94",,100.00%,,,"$54,994.85","$75,301.03","$49,918.31","$80,377.57","$44,841.76","$85,454.11",100.00%,,,,,
7-22-2024,"$67,535.20","$222,161,876,179",4.33%,0.09%,7.18%,"$15,003,746,740,124,000","$65,517.99",,100.00%,,,"$56,112.70","$74,923.29","$51,410.06","$79,625.93","$46,707.41","$84,328.58",100.00%,,,,,
7-29-2024,"$66,867.17","$227,265,184,992",-0.99%,0.05%,7.05%,"$15,196,579,759,941,500","$65,495.86",,100.00%,,,"$56,267.00","$74,724.73","$51,652.56","$79,339.16","$47,038.13","$83,953.60",100.00%,,,,,
8-5-2024,"$54,343.63","$251,002,338,760",-18.73%,4.00%,8.63%,"$13,640,378,226,708,100","$64,609.93",,100.00%,,,"$53,463.85","$75,756.02","$47,890.81","$81,329.06","$42,317.76","$86,902.10",100.00%,,,,,
8-12-2024,"$59,394.16","$317,158,734,647",9.29%,0.64%,9.04%,"$18,837,376,631,021,500","$64,150.17",,100.00%,,,"$52,557.53","$75,742.82","$46,761.21","$81,539.14","$40,964.88","$87,335.46",100.00%,,,,,
8-19-2024,"$59,411.52","$193,731,393,138",0.03%,0.02%,9.03%,"$11,509,876,538,046,100","$63,910.28",,100.00%,,,"$52,362.33","$75,458.23","$46,588.36","$81,232.21","$40,814.39","$87,006.18",100.00%,,,,,
8-26-2024,"$62,983.44","$200,670,274,120",6.01%,0.22%,8.41%,"$12,638,904,169,820,600","$63,380.27",,100.00%,,,"$52,725.70","$74,034.85","$47,398.41","$79,362.14","$42,071.12","$84,689.43",100.00%,,,,,
9-2-2024,"$59,159.02","$208,589,155,271",-6.07%,0.54%,8.52%,"$12,339,930,008,460,200","$62,629.60",,100.00%,,,"$51,955.85","$73,303.35","$46,618.98","$78,640.22","$41,282.11","$83,977.09",100.00%,,,,,
9-9-2024,"$57,135.78","$207,052,844,168",-3.42%,0.22%,8.55%,"$11,830,125,752,757,100","$61,897.88",,100.00%,,,"$51,312.83","$72,482.92","$46,020.31","$77,775.45","$40,727.78","$83,067.97",100.00%,,,,,
9-16-2024,"$58,227.46","$201,400,392,020",1.91%,0.00%,8.57%,"$11,727,033,270,328,900","$60,963.48",,100.00%,,,"$50,512.68","$71,414.27","$45,287.28","$76,639.67","$40,061.89","$81,865.07",100.00%,,,,,
9-23-2024,"$63,336.01","$223,578,476,939",8.77%,0.56%,8.88%,"$14,160,568,651,193,300","$60,815.87",,100.00%,,,"$50,015.68","$71,616.06","$44,615.59","$77,016.15","$39,215.49","$82,416.24",100.00%,,,,,
9-30-2024,"$63,260.04","$185,380,794,223",-0.12%,0.02%,8.46%,"$11,727,196,457,778,700","$60,996.67",,100.00%,,,"$50,675.02","$71,318.32","$45,514.20","$76,479.14","$40,353.37","$81,639.97",100.00%,,,,,
10-7-2024,"$62,416.51","$221,870,167,581",-1.33%,0.07%,8.41%,"$13,848,361,533,521,200","$60,996.85",,100.00%,,,"$50,736.22","$71,257.47","$45,605.91","$76,387.78","$40,475.60","$81,518.09",100.00%,,,,,
10-14-2024,"$66,089.76","$185,760,615,870",5.89%,0.21%,8.00%,"$12,276,874,520,300,500","$61,611.24",,100.00%,,,"$51,753.43","$71,469.05","$46,824.52","$76,397.96","$41,895.62","$81,326.87",100.00%,,,,,
10-21-2024,"$67,440.46","$233,833,427,420",2.04%,0.01%,7.12%,"$15,769,833,908,581,400","$61,863.79",,100.00%,,,"$53,056.94","$70,670.63","$48,653.52","$75,074.05","$44,250.10","$79,477.47",100.00%,,,,,
10-28-2024,"$69,862.52","$210,764,883,686",3.59%,0.05%,7.09%,"$14,724,565,901,810,800","$62,002.60",,100.00%,,,"$53,209.94","$70,795.26","$48,813.61","$75,191.59","$44,417.28","$79,587.92",100.00%,,,,,
11-4-2024,"$67,779.10","$281,658,996,077",-2.98%,0.18%,7.14%,"$19,090,593,261,002,600","$62,169.60",,100.00%,,,"$53,288.82","$71,050.38","$48,848.43","$75,490.77","$44,408.04","$79,931.16",100.00%,,,,,
11-11-2024,"$88,860.00","$436,048,950,363",31.10%,8.90%,9.06%,"$38,747,309,729,256,200","$66,282.27",,-112.88%,-3,,"$54,268.86","$78,295.68","$48,262.16","$84,302.39","$42,255.45","$90,309.09",-112.88%,,,,,
11-18-2024,"$90,587.70","$631,742,325,166",1.94%,0.00%,8.94%,"$57,228,084,229,440,100","$71,124.62",,-25.28%,-3,,"$58,409.87","$83,839.37","$52,052.50","$90,196.74","$45,695.12","$96,554.12",-25.28%,,,,,
11-25-2024,"$93,343.03","$502,412,531,238",3.04%,0.03%,8.89%,"$46,896,707,975,724,600","$74,541.77",,-25.48%,-2,,"$61,291.93","$87,791.60","$54,667.02","$94,416.52","$48,042.10","$101,041.44",-25.48%,,,,,
12-2-2024,"$95,726.44","$419,153,048,682",2.55%,0.02%,8.86%,"$40,124,029,165,474,600","$77,240.82",,-24.48%,-2,,"$63,548.64","$90,933.00","$56,702.55","$97,779.09","$49,856.47","$104,625.18",-24.48%,,,,,
12-9-2024,"$97,390.20","$549,005,393,438",1.74%,0.00%,8.46%,"$53,467,745,068,005,500","$80,544.81",,-22.44%,-2,,"$66,914.65","$94,174.97","$60,099.57","$100,990.05","$53,284.49","$107,805.13",-22.44%,,,,,
12-16-2024,"$105,855.67","$521,429,282,524",8.69%,0.55%,8.27%,"$55,196,246,059,197,300","$84,300.97",,-44.86%,-3,,"$70,355.42","$98,246.51","$63,382.65","$105,219.28","$56,409.88","$112,192.05",-44.86%,,,,,
12-23-2024,"$94,800.76","$551,244,500,231",-10.44%,1.37%,9.21%,"$52,258,397,567,719,000","$86,442.88",,100.00%,,,"$70,526.26","$102,359.50","$62,567.95","$110,317.81","$54,609.64","$118,276.12",100.00%,,,,,
12-30-2024,"$92,523.16","$299,272,588,112",-2.40%,0.14%,9.24%,"$27,689,645,553,500,700","$87,778.71",,100.00%,,,"$71,565.83","$103,991.60","$63,459.39","$112,098.04","$55,352.95","$120,204.48",100.00%,,,,,
1-6-2025,"$102,179.56","$248,821,817,930",10.44%,0.84%,9.38%,"$25,424,503,874,487,500","$89,314.42",,100.00%,,,"$72,554.89","$106,073.95","$64,175.13","$114,453.72","$55,795.36","$122,833.49",100.00%,,,,,
