Date,Weekly Close,Weekly Volume,Weekly Volatility,Weekly Variance,14 Week MA Volatility,Weekly Weighted Volume,14 Week VWAP MA,,Multiple calculation,Buy/Sell Multiplier,,Price lower 2 SD,price upper 2 SD,Price lower 3 SD,price upper 3 SD,Price lower 4 SD,price upper 4 SD,,AVG,MIN,MAX,AVG VAR,SD
,,,,,,,,,,,,,,,,,,,1.27%,-100.00%,45.94%,1.10%,10.51%
8-23-2021,"$49,590.88","$236,289,722,726",7.84%,0.43%,12.50%,"$11,717,815,284,938,300","$38,223.13",,-38.69%,-2,,"$28,668.50","$47,777.75","$23,891.19","$52,555.06","$19,113.88","$57,332.37",-38.69%,,,,,
8-30-2021,"$47,125.77","$223,947,952,688",-4.97%,0.39%,12.11%,"$10,553,719,710,345,600","$38,750.36",,100.00%,,,"$29,363.45","$48,137.28","$24,669.99","$52,830.74","$19,976.53","$57,524.20",100.00%,,,,,
9-6-2021,"$52,640.59","$256,225,023,619",11.70%,1.09%,12.26%,"$13,487,836,416,068,100","$39,999.54",,-46.17%,-2,,"$30,195.41","$49,803.66","$25,293.35","$54,705.73","$20,391.28","$59,607.79",-46.17%,,,,,
9-13-2021,"$44,991.52","$293,311,066,613",-14.53%,2.50%,12.71%,"$13,196,510,719,740,100","$40,917.43",,100.00%,,,"$30,514.55","$51,320.32","$25,313.11","$56,521.76","$20,111.67","$61,723.20",100.00%,,,,,
9-20-2021,"$42,855.51","$226,141,953,163",-4.75%,0.36%,11.84%,"$9,691,428,735,196,480","$41,096.11",,100.00%,,,"$31,367.33","$50,824.90","$26,502.94","$55,689.29","$21,638.54","$60,553.69",100.00%,,,,,
9-27-2021,"$42,496.79","$270,099,994,433",-0.84%,0.04%,9.92%,"$11,478,382,742,420,400","$41,998.84",,100.00%,,,"$33,663.58","$50,334.09","$29,495.96","$54,501.71","$25,328.33","$58,669.34",100.00%,,,,,
10-4-2021,"$49,288.50","$223,042,115,392",15.98%,2.16%,10.46%,"$10,993,411,304,498,600","$43,257.62",,100.00%,,,"$34,208.41","$52,306.83","$29,683.81","$56,831.43","$25,159.20","$61,356.03",100.00%,,,,,
10-11-2021,"$57,289.19","$261,919,545,521",16.23%,2.24%,10.93%,"$15,005,158,608,066,200","$45,098.96",,-53.90%,-2,,"$35,240.38","$54,957.54","$30,311.09","$59,886.83","$25,381.80","$64,816.12",-53.90%,,,,,
10-18-2021,"$61,977.06","$277,084,548,345",8.18%,0.48%,10.80%,"$17,172,885,677,851,000","$47,181.55",,-37.67%,-2,,"$36,992.11","$57,371.00","$31,897.38","$62,465.72","$26,802.66","$67,560.44",-37.67%,,,,,
10-25-2021,"$63,031.67","$257,856,648,064",1.70%,0.00%,10.31%,"$16,253,135,148,076,200","$49,101.38",,-24.22%,-2,,"$38,980.86","$59,221.91","$33,920.60","$64,282.17","$28,860.34","$69,342.43",-24.22%,,,,,
11-1-2021,"$61,092.10","$256,114,057,651",-3.08%,0.19%,9.50%,"$15,646,545,621,420,700","$50,507.47",,-26.17%,-2,,"$40,907.65","$60,107.30","$36,107.74","$64,907.21","$31,307.82","$69,707.12",-26.17%,,,,,
11-8-2021,"$67,541.76","$227,064,607,869",10.56%,0.86%,9.66%,"$15,336,343,249,182,100","$52,388.96",,-41.29%,-2,,"$42,262.53","$62,515.39","$37,199.31","$67,578.61","$32,136.09","$72,641.82",-41.29%,,,,,
11-15-2021,"$63,753.50","$259,776,276,520",-5.61%,0.47%,9.19%,"$16,561,646,845,117,800","$53,628.31",,-30.91%,-2,,"$43,776.17","$63,480.46","$38,850.10","$68,406.53","$33,924.03","$73,332.60",-30.91%,,,,,
11-22-2021,"$56,383.57","$253,419,951,009",-11.56%,1.65%,9.93%,"$14,288,721,547,112,500","$54,334.92",,100.00%,,,"$43,548.70","$65,121.14","$38,155.59","$70,514.25","$32,762.48","$75,907.36",100.00%,,,,,
11-29-2021,"$57,920.71","$243,930,001,011",2.73%,0.02%,9.78%,"$14,128,598,848,857,800","$54,900.27",,100.00%,,,"$44,157.38","$65,643.17","$38,785.93","$71,014.62","$33,414.48","$76,386.06",100.00%,,,,,
12-6-2021,"$50,535.43","$276,690,611,812",-12.75%,1.97%,10.39%,"$13,982,679,044,882,500","$55,049.15",,100.00%,,,"$43,614.85","$66,483.44","$37,897.71","$72,200.59","$32,180.56","$77,917.74",100.00%,,,,,
12-13-2021,"$46,785.33","$208,148,497,532",-7.42%,0.76%,10.12%,"$9,738,296,146,038,810","$54,737.10",,100.00%,,,"$43,654.33","$65,819.86","$38,112.95","$71,361.25","$32,571.57","$76,902.63",100.00%,,,,,
12-20-2021,"$46,954.76","$214,770,398,202",0.36%,0.01%,9.27%,"$10,084,492,502,679,300","$55,080.57",,100.00%,,,"$44,871.75","$65,289.40","$39,767.33","$70,393.82","$34,662.92","$75,498.23",100.00%,,,,,
12-27-2021,"$50,774.00","$175,052,499,792",8.13%,0.47%,9.32%,"$8,888,115,624,439,010","$55,671.10",,100.00%,,,"$45,289.06","$66,053.14","$40,098.04","$71,244.16","$34,907.02","$76,435.18",100.00%,,,,,
1-3-2022,"$46,453.43","$203,998,848,909",-8.51%,0.96%,9.70%,"$9,476,446,247,874,810","$56,173.66",,100.00%,,,"$45,278.56","$67,068.77","$39,831.01","$72,516.32","$34,383.46","$77,963.87",100.00%,,,,,
1-10-2022,"$41,817.00","$276,182,787,152",-9.98%,1.27%,9.09%,"$11,549,135,610,335,200","$55,457.45",,239.56%,2,,"$45,375.61","$65,539.30","$40,334.68","$70,580.23","$35,293.76","$75,621.15",239.56%,,,,,
1-17-2022,"$42,211.27","$199,473,804,544",0.94%,0.00%,7.70%,"$8,420,042,621,534,010","$54,519.78",,220.09%,2,,"$46,123.86","$62,915.71","$41,925.89","$67,113.68","$37,727.93","$71,311.64",220.09%,,,,,
1-24-2022,"$36,660.00","$196,327,492,324",-13.15%,2.08%,7.67%,"$7,197,365,868,597,840","$52,804.49",,244.48%,3,,"$44,707.99","$60,900.99","$40,659.74","$64,949.24","$36,611.49","$68,997.49",257.63%,,,,,
1-31-2022,"$38,463.00","$178,727,434,896",4.92%,0.13%,7.88%,"$6,874,393,328,404,850","$51,163.83",,228.22%,3,,"$43,103.95","$59,223.70","$39,074.01","$63,253.64","$35,044.08","$67,283.58",233.14%,,,,,
2-7-2022,"$43,869.04","$143,977,109,319",14.06%,1.63%,9.12%,"$6,316,137,567,799,580","$49,988.68",,100.00%,,,"$40,866.21","$59,111.16","$36,304.97","$63,672.39","$31,743.74","$68,233.63",100.00%,,,,,
2-14-2022,"$42,540.30","$176,814,439,070",-3.03%,0.19%,8.38%,"$7,521,739,282,369,520","$48,225.41",,100.00%,,,"$40,138.40","$56,312.43","$36,094.90","$60,355.93","$32,051.39","$64,399.44",100.00%,,,,,
2-21-2022,"$37,076.60","$145,184,794,705",-12.84%,1.99%,8.78%,"$5,382,958,559,359,400","$46,271.37",,244.97%,2,,"$38,149.01","$54,393.73","$34,087.83","$58,454.91","$30,026.64","$62,516.09",244.97%,,,,,
2-28-2022,"$43,179.25","$190,469,710,084",16.46%,2.31%,9.90%,"$8,224,339,229,144,560","$45,157.63",,100.00%,,,"$36,212.66","$54,102.61","$31,740.17","$58,575.10","$27,267.68","$63,047.58",100.00%,,,,,
3-7-2022,"$38,001.05","$187,557,375,751",-11.99%,1.76%,10.21%,"$7,127,377,213,782,540","$43,551.08",,100.00%,,,"$34,662.21","$52,439.96","$30,217.77","$56,884.39","$25,773.33","$61,328.83",100.00%,,,,,
3-14-2022,"$39,649.05","$175,966,999,156",4.34%,0.09%,9.90%,"$6,976,924,347,886,200","$42,571.11",,100.00%,,,"$34,141.76","$51,000.46","$29,927.09","$55,215.13","$25,712.41","$59,429.80",100.00%,,,,,
3-21-2022,"$41,078.00","$184,097,042,034",3.60%,0.05%,9.81%,"$7,562,338,292,672,650","$42,136.14",,100.00%,,,"$33,868.08","$50,404.20","$29,734.05","$54,538.23","$25,600.02","$58,672.26",100.00%,,,,,
3-28-2022,"$47,223.65","$188,591,889,758",14.96%,1.87%,10.65%,"$8,905,997,394,770,380","$42,107.37",,100.00%,,,"$33,140.63","$51,074.11","$28,657.26","$55,557.48","$24,173.89","$60,040.85",100.00%,,,,,
4-4-2022,"$46,663.00","$223,334,181,931",-1.19%,0.06%,10.43%,"$10,421,442,931,446,300","$41,920.27",,100.00%,,,"$33,178.31","$50,662.24","$28,807.32","$55,033.22","$24,436.34","$59,404.21",100.00%,,,,,
4-11-2022,"$39,544.03","$188,557,001,876",-15.26%,2.73%,10.99%,"$7,456,303,738,894,600","$41,403.26",,100.00%,,,"$32,305.88","$50,500.63","$27,757.19","$55,049.32","$23,208.51","$59,598.01",100.00%,,,,,
4-18-2022,"$40,818.88","$174,652,159,709",3.22%,0.04%,10.68%,"$7,129,105,548,902,500","$41,318.54",,100.00%,,,"$32,492.92","$50,144.17","$28,080.11","$54,556.98","$23,667.30","$58,969.79",100.00%,,,,,
4-25-2022,"$40,473.75","$184,314,843,516",-0.85%,0.04%,10.68%,"$7,459,912,897,755,700","$41,187.06",,100.00%,,,"$32,386.89","$49,987.23","$27,986.81","$54,387.31","$23,586.73","$58,787.39",100.00%,,,,,
5-2-2022,"$38,566.06","$216,681,007,567",-4.71%,0.36%,10.09%,"$8,356,532,738,689,380","$41,312.45",,100.00%,,,"$32,974.21","$49,650.69","$28,805.08","$53,819.82","$24,635.96","$57,988.94",100.00%,,,,,
