,,,,,,,,,,,,,,,,Bitcoin,,,,,,,,,
Trade Date,Week,BTC price,Change from First day of Entry,Investment Multiple Optimum scenario,Buy/Sell Multiplier,Investment Amount Optimum scenario,BTC unit Optimum scenario,Total Investment Optimum scenario,Capital Balance Optimum scenario,Rolling Weekly Profit/Loss,AVG buying price Optimum DCA,BTC unit Simple DCA,Investment Amount DCA scenario,AVG buying price Simple DCA,Capital and Risk Management,"$116,157.11",,,,,,,,,
6-9-2025,179,"$110,198.16",163.52%,-187.49%,-2,-$968.73,-0.00879083,"$49,112.29",$820.08,412.57%,"$21,499.09",0.00226864,$250.00,"$35,556.07",,,,,,,,,,,
6-16-2025,180,"$107,243.93",156.46%,-176.99%,-2,-$942.47,-0.00878813,"$48,169.82","$1,788.81",406.63%,"$21,167.95",0.00233113,$250.00,"$35,688.61",,,,,,,,,,,
6-23-2025,181,"$105,496.95",152.28%,-52.28%,,$119.29,0.00113078,"$48,289.11","$2,731.28",397.40%,"$21,209.84",0.00236974,$250.00,"$35,819.56",,,,,,,,,,,
6-30-2025,182,"$107,153.10",156.24%,-56.24%,,$109.39,0.00102090,"$48,398.51","$2,611.99",404.29%,"$21,248.36",0.00233311,$250.00,"$35,951.06",,,,,,,,,,,
7-7-2025,183,"$108,249.40",158.86%,-58.86%,,$102.84,0.00095002,"$48,501.34","$2,502.60",408.58%,"$21,284.63",0.00230948,$250.00,"$36,082.75",,,,,,,,,,,
7-14-2025,184,"$119,871.10",186.66%,-233.72%,-3,"-$1,334.31",-0.01113118,"$47,167.04","$2,399.76",476.28%,"$20,800.68",0.00208557,$250.00,"$36,220.35",,,,,,,,,,,
7-21-2025,185,"$117,432.44",180.82%,-199.83%,-2,-$999.58,-0.00851193,"$46,167.46","$3,734.07",474.62%,"$20,436.58",0.00212888,$250.00,"$36,356.25",,,,,,,,,,,
7-28-2025,186,"$118,022.64",182.24%,-82.24%,,$44.41,0.00037628,"$46,211.87","$4,733.64",477.05%,"$20,452.84",0.00211824,$250.00,"$36,492.01",,,,,,,,,,,
8-4-2025,187,"$115,199.93",175.49%,-75.49%,,$61.29,0.00053199,"$46,273.16","$4,689.23",462.63%,"$20,475.14",0.00217014,$250.00,"$36,625.83",,,,,,,,,,,
8-11-2025,188,"$118,742.04",183.96%,-83.96%,,$40.11,0.00033778,"$46,313.26","$4,627.95",479.52%,"$20,489.82",0.00210540,$250.00,"$36,761.05",,,,,,,,,,,
8-18-2025,189,"$116,312.91",178.15%,-78.15%,,$54.63,0.00046969,"$46,367.90","$4,587.84",467.11%,"$20,509.73",0.00214937,$250.00,"$36,894.56",,,,,,,,,,,
8-25-2025,190,"$110,089.53",163.27%,-63.27%,,$91.84,0.00083421,"$46,459.73","$4,533.21",435.90%,"$20,542.77",0.00227088,$250.00,"$37,024.12",,,,,,,,,,,
9-1-2025,191,"$108,992.32",160.64%,-60.64%,,$98.40,0.00090279,"$46,558.13","$4,441.37",429.65%,"$20,578.07",0.00229374,$250.00,"$37,152.56",,,,,,,,,,,
9-8-2025,192,"$112,112.31",168.10%,-68.10%,,$79.74,0.00071129,"$46,637.88","$4,342.97",444.05%,"$20,606.83",0.00222991,$250.00,"$37,282.39",,,,,,,,,,,
9-15-2025,193,"$115,420.93",176.01%,-76.01%,,$59.96,0.00051953,"$46,697.84","$4,263.23",459.52%,"$20,628.59",0.00216598,$250.00,"$37,413.63",,,,,,,,,,,
9-22-2025,194,"$116,157.11",177.77%,-77.77%,,$55.56,0.00047834,"$46,753.40","$4,203.26",462.54%,"$20,648.78",0.00215226,$250.00,"$37,544.82",,,,,,,,,,,
9-29-2025,195,$0.00,-100.00%,6.377075148,4,"$2,594.27",#DIV/0!,49347.67082,4147.700385,#DIV/0!,#DIV/0!,#DIV/0!,$250.00,#DIV/0!,,,,,,,,,,,
10-6-2025,196,$0.00,-100.00%,4.387175606,4,"$2,096.79",#DIV/0!,51444.46472,1553.431598,#DIV/0!,#DIV/0!,#DIV/0!,$250.00,#DIV/0!,,,,,,,,,,,
10-13-2025,197,$0.00,-100.00%,2,0,$500.00,#DIV/0!,51944.46472,-543.3623034,#DIV/0!,#DIV/0!,#DIV/0!,$250.00,#DIV/0!,,,,,,,,,,,
10-20-2025,198,$0.00,-100.00%,2,0,$500.00,#DIV/0!,52444.46472,-1043.362303,#DIV/0!,#DIV/0!,#DIV/0!,$250.00,#DIV/0!,,,,,,,,,,,
10-27-2025,199,$0.00,-100.00%,2,0,$500.00,#DIV/0!,52944.46472,-1543.362303,#DIV/0!,#DIV/0!,#DIV/0!,$250.00,#DIV/0!,,,,,,,,,,,
11-3-2025,200,$0.00,-100.00%,2,0,$500.00,#DIV/0!,53444.46472,-2043.362303,#DIV/0!,#DIV/0!,#DIV/0!,$250.00,#DIV/0!,,,,,,,,,,,
11-10-2025,201,$0.00,-100.00%,2,0,$500.00,#DIV/0!,53944.46472,-2543.362303,#DIV/0!,#DIV/0!,#DIV/0!,$250.00,#DIV/0!,,,,,,,,,,,
11-17-2025,202,$0.00,-100.00%,2,0,$500.00,#DIV/0!,54444.46472,-3043.362303,#DIV/0!,#DIV/0!,#DIV/0!,$250.00,#DIV/0!,,,,,,,,,,,
11-24-2025,203,$0.00,-100.00%,2,0,$500.00,#DIV/0!,54944.46472,-3543.362303,#DIV/0!,#DIV/0!,#DIV/0!,$250.00,#DIV/0!,,,,,,,,,,,
12-1-2025,204,$0.00,-100.00%,2,0,$500.00,#DIV/0!,55444.46472,-4043.362303,#DIV/0!,#DIV/0!,#DIV/0!,$250.00,#DIV/0!,,,,,,,,,,,
12-8-2025,205,$0.00,-100.00%,2,0,$500.00,#DIV/0!,55944.46472,-4543.362303,#DIV/0!,#DIV/0!,#DIV/0!,$250.00,#DIV/0!,,,,,,,,,,,
12-15-2025,206,$0.00,-100.00%,2,0,$500.00,#DIV/0!,56444.46472,-5043.362303,#DIV/0!,#DIV/0!,#DIV/0!,$250.00,#DIV/0!,,,,,,,,,,,
12-22-2025,207,$0.00,-100.00%,2,0,$500.00,#DIV/0!,56944.46472,-5543.362303,#DIV/0!,#DIV/0!,#DIV/0!,$250.00,#DIV/0!,,,,,,,,,,,
12-29-2025,208,$0.00,-100.00%,2,0,$500.00,#DIV/0!,57444.46472,-6043.362303,#DIV/0!,#DIV/0!,#DIV/0!,$250.00,#DIV/0!,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Holding value,Profit %,Profit $,Total BTC unit,Total investment,AVG daily investment,Investment Capital balance,Average buying price,Balance BTC value now,Change from First day of Entry,,,,,,,,,,,,,,
Optimum DCA,,"$262,949.86",463.09%,"$216,252.02",2.26374315,"$46,697.84",$34.59,"$5,302.16","$20,628.59",0.04564646,177.77%,,,,,,,,,,,,,,
Simple DCA,,"$149,800.50",210.47%,"$101,550.50",1.28963696,"$48,250.00",$35.74,"$3,750.00","$37,413.63",0.03228386,,,,,,,,,,,,,,,
Buy & HODL,,"$144,442.92",177.77%,"$92,442.92",1.24351340,"$52,000.00",$38.52,$0.00,"$41,817.00",0.00000000,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
