date,btc_price,simple_investment,simple_btc,simple_value,simple_profit_pct,optimum_action,optimum_investment,optimum_btc,optimum_value,optimum_profit_pct,optimum_notes
2022-03-14,39649.05,250.0,0.062212455930562065,2466.664775813652,-1.3334089674539247,BUY,512.9609369395222,0.21526657257206466,8535.115099238421,0.17732273238304386,"Excel: InvMult=1.052, BS=0, Amount=$513"
2022-03-21,41078.0,250.0,0.06829843869505887,2805.5632647156285,2.0204823532955825,BUY,504.4180596408159,0.22754609104036438,9347.138327756089,3.575995916734515,"Excel: InvMult=1.018, BS=0, Amount=$504"
2022-03-28,47223.65,250.0,0.07359239627775314,3475.3015644819175,15.843385482730582,BUY,467.6767223856326,0.23744953396325646,11213.233684543937,18.13225055899552,"Excel: InvMult=0.871, BS=0, Amount=$468"
2022-04-04,46663.0,250.0,0.0789499600863381,3684.041987508795,13.355138077193693,BUY,471.02852906712576,0.24754379556382064,11551.136132394562,15.938821954460975,"Excel: InvMult=0.884, BS=0, Amount=$471"
2022-04-11,39544.03,250.0,0.08527202690653828,3371.999590152957,-3.6571545670583747,BUY,513.5887916397637,0.2605315661992304,10302.468069729353,-1.6632231696846567,"Excel: InvMult=1.054, BS=0, Amount=$514"
2022-04-18,40818.88,250.0,0.09139664375050852,3730.708633654757,-0.5144364358731521,BUY,505.9671903771193,0.2729269869059504,11140.57392727556,1.4376031285417052,"Excel: InvMult=1.024, BS=0, Amount=$506"
2022-04-25,40473.75,250.0,0.09757348676604327,3949.1649099971437,-1.2708772500714076,BUY,508.0305258626874,0.285479086127364,11554.409162147398,0.5542922468267414,"Excel: InvMult=1.032, BS=0, Amount=$508"
2022-05-02,38566.06,250.0,0.1040558704993051,4013.0249450284305,-5.5758836463898716,BUY,519.4355166559055,0.2989478075019588,11529.239080988993,-4.0042242870491265,"Excel: InvMult=1.078, BS=0, Amount=$519"
2022-05-09,30076.31,250.0,0.11236806039228067,3379.616618456955,-24.897408478734327,BUY,1233.521150232811,0.3399608556529059,10224.76808248205,-22.795076857285558,"Excel: InvMult=2.934, BS=2, Amount=$1234"
2022-05-16,29889.61,250.0,0.12073217086411353,3608.6375015817166,-24.02868417722702,BUY,1125.5885988288687,0.37761904519866674,11286.885989560522,-21.451179788931686,"Excel: InvMult=2.502, BS=2, Amount=$1126"
2022-05-23,29088.25,250.0,0.1293267064583827,3761.887569138051,-24.76224861723898,BUY,1140.67652884517,0.41683338531349556,12124.953720345287,-21.82461920595655,"Excel: InvMult=2.563, BS=2, Amount=$1141"
2022-05-30,31735.95,250.0,0.13720420815598433,4354.305889827911,-17.060840193754068,BUY,560.2688499892388,0.4344874605811097,13788.872324629068,-14.196053827157709,"Excel: InvMult=1.241, BS=0, Amount=$560"
2022-06-06,31333.68,250.0,0.14518284328597864,4549.112753013003,-17.28885903612721,BUY,562.6737929550183,0.4524449361459019,14176.764846816124,-14.766633233713927,"Excel: InvMult=1.251, BS=0, Amount=$563"
2022-06-13,22316.26,250.0,0.1563854372690206,3489.9380783091533,-39.3054247250582,BUY,1680.5171019573488,0.527749539245048,11777.395932672693,-35.689730654190235,"Excel: InvMult=3.722, BS=3, Amount=$1681"
2022-06-20,20571.63,250.0,0.16853809605201447,3467.1033528865028,-42.21494411855829,BUY,1596.23255008607,0.6053434173230646,12452.900804105677,-37.452880253402775,"Excel: InvMult=3.385, BS=3, Amount=$1596"
2022-06-27,20751.05,250.0,0.1805856791863619,3747.3424580801548,-40.04252067071752,BUY,1559.0774132107838,0.6804758763172256,14120.588933252564,-34.22711512554121,"Excel: InvMult=3.236, BS=3, Amount=$1559"
2022-07-04,20226.3,250.0,0.19294582414614198,3902.5801229271115,-39.96030580112136,BUY,1570.2500877832372,0.7581099511496585,15333.759304938338,-33.444216938410406,"Excel: InvMult=3.281, BS=3, Amount=$1570"
2022-07-11,19971.33,250.0,0.2054637686195446,4103.38472614457,-39.20911516822859,BUY,1566.952031165038,0.8365700252240961,16707.41604185875,-32.09998893015798,"Excel: InvMult=3.268, BS=3, Amount=$1567"
2022-07-18,22305.71,250.0,0.21667166112778577,4833.015238334662,-30.956925166647682,BUY,733.2937561278906,0.8694447356066793,19393.582133469263,-23.464123665221038,"Excel: InvMult=1.933, BS=0, Amount=$733"
2022-07-25,21510.13,250.0,0.2282940920475431,4910.635598174619,-32.26709519759146,BUY,742.806394528541,0.9039775996353273,19444.675685243845,-25.447942459303245,"Excel: InvMult=1.971, BS=0, Amount=$743"
2022-08-01,23331.44,250.0,0.23900924722013425,5576.429910961729,-25.64760118717695,BUY,721.0292464787049,0.9348813606753105,21812.128373714364,-18.620692461271645,"Excel: InvMult=1.884, BS=0, Amount=$721"
2022-08-08,23803.65,250.0,0.2495118382093313,5939.292467591549,-23.363968160109042,BUY,715.3830977831982,0.9649348649817172,22968.971798822055,-16.53238379886701,"Excel: InvMult=1.862, BS=0, Amount=$715"
2022-08-15,24083.95,250.0,0.2598921952520921,6259.2306358416245,-21.759617051979692,BUY,712.0315900231963,0.9944994335023791,23951.474631499623,-15.157319026440238,"Excel: InvMult=1.848, BS=0, Amount=$712"
2022-08-22,21301.08,250.0,0.27162868936412776,5785.9844424404355,-29.866855243146233,BUY,745.3059760384533,1.0294885503001403,21929.217969027315,-24.31874972113697,"Excel: InvMult=1.981, BS=0, Amount=$745"
2022-08-29,20270.96,250.0,0.2839616030495181,5756.1742969526595,-32.280302388792244,BUY,757.6229763015041,1.06686334539132,21626.344199893632,-27.26578164926503,"Excel: InvMult=2.030, BS=0, Amount=$758"
2022-09-05,19797.8,250.0,0.29658926874974745,5871.8150248537495,-32.89354257310001,BUY,763.2804840136787,1.105417148541856,21884.827623401958,-28.238618117172624,"Excel: InvMult=2.053, BS=0, Amount=$763"
2022-09-12,22364.72,250.0,0.30776758888968214,6883.135950592852,-23.52071166007942,BUY,732.5881818399216,1.1381735694512134,25454.93319217694,-18.490097296167164,"Excel: InvMult=1.930, BS=0, Amount=$733"
2022-09-19,19557.98,250.0,0.3205500950585196,6269.312348152625,-32.22365029024189,BUY,766.1479780950331,1.1773467344761819,23026.523885950475,-28.031768123870393,"Excel: InvMult=2.065, BS=0, Amount=$766"
2022-09-26,19201.13,250.0,0.3335701621066569,6404.924046730994,-32.579746876515856,BUY,770.4147834612718,1.2174701430183494,23376.80248721392,-28.65490322950889,"Excel: InvMult=2.082, BS=0, Amount=$770"
2022-10-03,19633.43,250.0,0.34630354593210155,6799.1264278097005,-30.265369971182558,BUY,765.2458330344118,1.2564468186697466,24668.360663075164,-26.43131478609674,"Excel: InvMult=2.061, BS=0, Amount=$765"
2022-10-10,19154.4,250.0,0.3593553773650882,6883.236640201846,-31.167633597981535,BUY,770.9735275127341,1.2966972847513119,24837.45847104053,-27.59187941700269,"Excel: InvMult=2.084, BS=0, Amount=$771"
2022-10-17,19557.02,250.0,0.37213851099178596,7277.920302236578,-28.99589949037485,BUY,766.1594566802975,1.3358729596077212,26125.694188507397,-25.500314462017453,"Excel: InvMult=2.065, BS=0, Amount=$766"
2022-10-24,19341.46,250.0,0.385064112264906,7447.702124807189,-29.06950357326487,BUY,768.7368773465337,1.37561850504982,26606.47029068089,-25.756838812843736,"Excel: InvMult=2.075, BS=0, Amount=$769"
