duration,start_date,end_date,optimum_return_pct,simple_return_pct,outperformance_pct,optimum_btc,optimum_investment,optimum_value
1-Year,2022-12-16,2023-12-15,52535.53363901396,58.52055674364108,52477.013082270314,0.1072188275177999,8.550958548825065,4500.842663424956
1-Year,2020-12-25,2021-12-24,8350.643183609083,14.102426675533444,8336.54075693355,0.0567236232659191,34.158446897607064,2886.60846437936
1-Year,2020-01-17,2021-01-15,3600.175154503439,254.3961829927579,3345.7789715106815,1.0703607523522225,1061.9304247386085,39293.28573429084
1-Year,2020-01-10,2021-01-08,1651.1863921050758,301.0712279329128,1350.115164172163,1.1645166851934807,2711.512255891783,47483.633645438254
1-Year,2020-01-03,2021-01-01,740.5965016524848,194.49064226648105,546.1058593860038,1.2671878645814512,4429.0993060094115,37230.8538210296
1-Year,2019-12-27,2020-12-25,454.2780645717193,152.0733801537125,302.2046844180068,1.381442003353565,6148.360541343427,34079.01381144963
1-Year,2022-12-09,2023-12-08,357.9205539869695,69.81097936956449,288.109574617405,0.1618749000509519,1562.648365135616,7155.688050497335
1-Year,2023-12-22,2024-12-20,274.46433383136747,57.87304542470587,216.5912884066616,0.0456472345724514,1189.9574350514415,4455.966182042209
1-Year,2019-12-20,2020-12-18,339.86887020814885,139.63728240460412,200.23158780354473,1.503304890580675,7877.191585170362,34649.31362982024
1-Year,2021-01-01,2021-12-31,195.20400698971565,2.3955091000571533,192.8084978896585,0.1116632890022523,1753.4196822316228,5176.16516129409
1-Year,2018-08-10,2019-08-09,304.2882952104863,122.96332019678955,181.32497501369676,3.945941792708986,11573.9980485438,46792.31939815268
1-Year,2018-07-20,2019-07-19,264.05010484186084,100.24316719564725,163.8069376462136,4.000603105725169,11573.9980485438,42135.152030118625
1-Year,2018-08-03,2019-08-02,261.6962061677276,99.18622022397273,162.50998594375488,3.9756832198772942,11573.9980485438,41862.71184350975
1-Year,2018-07-13,2019-07-12,284.66100244790266,125.90651824236728,158.7544842055354,4.131258896486938,12687.504851406642,48803.88334704707
1-Year,2018-08-17,2019-08-16,250.44357167243984,93.61014218387412,156.83342948856574,3.9100627520037343,11573.9980485438,40560.33214661538
1-Year,2018-08-24,2019-08-23,248.78392944503153,93.01934064430765,155.7645888007239,3.876291771341881,11573.9980485438,40368.24518760233
1-Year,2018-09-07,2019-09-06,241.9268251503107,89.66490375790924,152.26192139240146,3.83072100266142,11573.9980485438,39574.60407034473
1-Year,2018-07-27,2019-07-26,238.62088273511227,86.40169147679856,152.2191912583137,3.9842604084422297,11573.9980485438,39191.97435972368
1-Year,2018-09-14,2019-09-13,239.6326347619914,88.69617029894724,150.93646446304416,3.799688992297091,11573.998048543805,39309.074519570786
1-Year,2018-09-21,2019-09-20,231.14367949464287,84.28204935543778,146.8616301392051,3.768542093619856,11573.998048543805,38326.56300258611
2-Year,2019-02-22,2021-02-19,16763.84465280349,527.4843294634121,16236.36032334008,1.7701117077722277,585.9193002425661,98808.52058369962
2-Year,2019-05-24,2021-05-21,4618.128448656676,228.59426469474724,4389.534183961929,2.1048966830050526,1658.4568385842415,78248.12390993522
2-Year,2019-02-15,2021-02-12,4086.257375798928,445.1061359892394,3641.151239809688,1.9222277277617232,2182.2422328312814,91354.27642969872
2-Year,2019-05-31,2021-05-28,1826.666963157827,211.6532630337359,1615.0137001240912,2.272089089775845,4197.867129628061,80878.91914380562
2-Year,2019-02-08,2021-02-05,1837.2732759177295,345.76951651137364,1491.503759406356,2.0924188153837373,4109.225720118244,79606.93172298861
2-Year,2019-06-07,2021-06-04,1295.2916372380837,219.53811024274955,1075.753526995334,2.412696943928148,6377.935938458596,88990.80677771507
2-Year,2019-11-22,2021-11-19,1290.0771778716696,294.760565609679,995.3166122619906,2.0939586281276847,8739.015672158477,121479.06242930348
2-Year,2019-11-15,2021-11-12,1312.983945351266,342.5922033603016,970.3917419909644,2.1640776220002245,9814.11469493732,138671.86501782373
2-Year,2019-02-01,2021-01-29,1263.752590815309,308.96860500659665,954.7839858087124,2.271180998529239,5689.9991388107055,77597.51067289976
2-Year,2019-12-06,2021-12-03,1204.0121645844877,252.73766965594967,951.274494928538,1.7731771623368568,7298.190418334554,95169.29084962208
2-Year,2019-11-29,2021-11-26,1207.689696723636,259.7610936976118,947.928603026024,1.908562279923366,7852.1559224451985,102681.83396849064
2-Year,2019-12-27,2021-12-24,1083.770089703536,217.0471402895209,866.7229494140151,1.4381656266194844,6182.518988241027,73186.81057303895
2-Year,2019-12-13,2021-12-10,1052.3437773172284,206.4528710067688,845.8909063104596,1.64098871611755,6755.27222745121,77843.95915387293
2-Year,2022-12-16,2024-12-13,1013.75524597883,174.51914345921412,839.236102519616,0.1384314600176673,1258.9568236065793,14021.697667526723
2-Year,2019-12-20,2021-12-17,1021.0224944367178,193.80780493273656,827.2146895039813,1.495806763796708,6182.518988241028,69307.4285810033
2-Year,2023-01-27,2025-01-24,983.5213759823216,156.80651703924545,826.7148589430763,0.0805328798379009,778.3040460466932,8433.090709051212
2-Year,2019-11-08,2021-11-05,1118.0144821534625,327.22990694751763,790.7845752059446,2.23445271693266,11191.547139550705,136314.66493675913
2-Year,2019-06-14,2021-06-11,996.8049012617658,218.73297531374237,778.0719259480235,2.532189872284192,8584.97877303571,94160.46795493786
2-Year,2020-01-03,2021-12-31,933.8312071192812,183.51273866271956,750.3184684565617,1.3788511535837034,6182.518988241029,63916.810686511
2-Year,2019-11-01,2021-10-29,1066.313910789523,341.1822946363407,725.1316161531824,2.296759962060684,12254.7824811462,142929.2328146056
